Place,City,Area,latitude,longitude,bounding_box_1,bounding_box_2,bounding_box_3,bounding_box_4
Bishan East,Bishan,central,1.3519117,103.8489708,1.3416846,1.3679829,103.8184512,103.8604759
Marymount,Bishan,central,1.34860435,103.83939255166875,1.3477391,1.3495215,103.8389209,103.8401685
Upper Thomson,Bishan,central,1.35463855,103.83251239866786,1.353404,1.3558134,103.8315994,103.8340559
Alexandra Hill,Bukit Merah,central,1.277477,103.8018803,1.257477,1.297477,103.7818803,103.8218803
Alexandra North,Bukit Merah,central,1.277477,103.8018803,1.257477,1.297477,103.7818803,103.8218803
Bukit Ho Swee,Bukit Merah,central,1.2879953,103.82856441508395,1.2872744,1.2891805,103.8273566,103.8296818
Bukit Merah,Bukit Merah,central,1.2748641,103.8202761,1.2468466,1.294029,103.7990855,103.8555168
City Terminals,Bukit Merah,central,1.2476261499999999,103.68697439819525,1.2426049,1.2530281,103.6835872,103.6897766
Depot Road,Bukit Merah,central,1.2818924,103.805484,1.281816,1.2818924,103.8052815,103.805484
Everton Park,Bukit Merah,central,1.2771286000000002,103.8393679151902,1.2759546,1.2778381,103.8381345,103.8405748
Henderson Hill,Bukit Merah,central,1.28115755,103.82106078273195,1.2794422,1.2831901,103.8181704,103.8236118
Kampong Tiong Bahru,Bukit Merah,central,1.2756728,103.83359127611081,1.2752415,1.2761632,103.8326145,103.8345443
Maritime Square,Bukit Merah,central,1.2642884,103.8182609,1.2641955,1.2643647,103.8175932,103.818828
Redhill,Bukit Merah,central,1.2896482,103.8167677,1.2846482,1.2946482,103.8117677,103.8217677
Singapore General Hospital,Bukit Merah,central,1.27944885,103.83628049727403,1.276264,1.2827319,103.8320184,103.8394688
Telok Blangah Drive,Bukit Merah,central,1.2725019,103.8118027,1.2723913,1.2725019,103.8118027,103.8119451
Telok Blangah Rise,Bukit Merah,central,1.2733393,103.8206709,1.2731544,1.2733393,103.8206709,103.8208654
Telok Blangah Way,Bukit Merah,central,1.274615,103.8228471,1.2746105,1.274615,103.8228471,103.8229978
Tiong Bahru,Bukit Merah,central,1.28617925,103.82722523285841,1.2856766,1.286587,103.8259536,103.8279593
Tiong Bahru Station,Bukit Merah,central,1.2860113,103.8274107,1.2859613,1.2860613,103.8273607,103.8274607
Anak Bukit,Bukit Timah,central,1.3358173,103.7754302,1.3357673,1.3358673,103.7753802,103.7754802
Coronation Road,Bukit Timah,central,1.3217643,103.8067901,1.3216727,1.3218003,103.8064369,103.8071339
Farrer Court,Bukit Timah,central,1.31259105,103.8542288478267,1.3115074,1.3136044,103.8528326,103.8560823
Hillcrest,Bukit Timah,central,1.3314818,103.8075163,1.3314318,1.3315318,103.8074663,103.8075663
Holland Road,Bukit Timah,central,1.3101133,103.8047651,1.2901133,1.3301133,103.7847651,103.8247651
Leedon Park,Bukit Timah,central,1.3175122,103.7964628,1.3175122,1.317865,103.796154,103.7964628
Swiss Club,Bukit Timah,central,1.3429964,103.7906466,1.3429464,1.3430464,103.7905966,103.7906966
Ulu Pandan,Bukit Timah,central,1.3163699,103.7813952,1.2963699,1.3363699,103.7613952,103.8013952
Anson,Downtown Core,central,1.2737957,103.843473,1.2537957,1.2937957,103.823473,103.863473
Bugis,Downtown Core,central,1.2999532999999999,103.85527814689878,1.2986269,1.3012468,103.8548672,103.8576508
Cecil,Downtown Core,central,1.2796992,103.8492984,1.2596992,1.2996992,103.8292984,103.8692984
City Hall,Downtown Core,central,1.2930272,103.85264479617268,1.2921065,1.2939883,103.851957,103.8532796
Clifford Pier,Downtown Core,central,1.2839174,103.8535246,1.2838674,1.2839674,103.8534746,103.8535746
Marina Centre,Downtown Core,central,1.27958235,103.85382960000001,1.279329,1.2798357,103.8535523,103.8541069
Maxwell,Downtown Core,central,1.2806012999999998,103.84403801875,1.2800428,1.2812019,103.8427679,103.8449953
Nicoll,Downtown Core,central,1.29983065,103.86379908710182,1.2994683,1.3002078,103.8631965,103.8645359
Phillip,Downtown Core,central,1.285145,103.8499586,1.2850336,1.2851826,103.8498972,103.8500516
Raffles Place,Downtown Core,central,1.2835416999999998,103.85146023266938,1.281611,1.2853425,103.8509863,103.8525347
Tanjong Pagar,Downtown Core,central,1.27660565,103.84577931609854,1.2763482,1.2768709,103.8449855,103.8464381
Aljunied,Geylang,central,1.3164515,103.8829087,1.3114515,1.3214515,103.8779087,103.8879087
Geylang East,Geylang,central,1.3181862,103.8870563,1.3060165,1.3377579,103.8686897,103.9068487
Kallang Way,Geylang,central,1.3249544,103.8767546,1.3049544,1.3449544,103.8567546,103.8967546
Kampong Ubi,Geylang,central,1.3296421,103.89509490099815,1.327019,1.3317547,103.8911873,103.8982593
MacPherson,Geylang,central,1.32620695,103.88950695393876,1.3251496,1.3273124,103.8883787,103.8907416
Bendemeer,Kallang,central,1.3136389,103.86300121034482,1.3130379,1.3142342,103.8618493,103.8636008
Boon Keng,Kallang,central,1.3195690500000001,103.86174867772831,1.3186557,1.3204485,103.8609691,103.8624795
Crawford,Kallang,central,1.30558585,103.86308765668299,1.3043737,1.3064272,103.8604688,103.8643551
Geylang Bahru,Kallang,central,1.324875,103.8681578,1.3248126,1.3249377,103.868112,103.8682425
Kallang Bahru,Kallang,central,1.3210743,103.8714391,1.3210196,1.3211473,103.871375,103.8715347
Kampong Bugis,Kallang,central,1.3082141,103.865911,1.3080037,1.3082141,103.865911,103.8659612
Kampong Java,Kallang,central,1.3139715,103.8454729,1.3139215,1.3140215,103.8454229,103.8455229
Lavender,Kallang,central,1.30734955,103.86315267326367,1.3065735,1.3081481,103.8619167,103.863632
Tanjong Rhu,Kallang,central,1.2973427499999999,103.87376426134355,1.2965219,1.2981282,103.8732081,103.8738668
Marina East,Marina East,central,1.288624,103.869827,1.2657484,1.2954609,103.8644714,103.8910102
